STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STATEFP.1,COUNTYFP,TRACTCE,AFFGEOID,GEOID.1,NAME.1,LSAD.1,ALAND.1,AWATER.1,geometry
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,060700,1400000US53053060700,53053060700,607,CT,2105866,0,"list(c(-122.48884, -122.488842, -122.488843, -122.488851, -122.488858, -122.48408, -122.481034, -122.479422, -122.477755, -122.474746, -122.468169, -122.468172, -122.468169, -122.468168, -122.468169, -122.468168, -122.468328, -122.471359, -122.473408, -122.474802, -122.476273, -122.483639, -122.488986, -122.48884, 47.258994, 47.259932, 47.261796, 47.264591, 47.267334, 47.267353, 47.267334, 47.267326, 47.267525, 47.267506, 47.267467, 47.265446, 47.26363, 47.263258, 47.261074, 47.259798, 47.255443, 
47.25544, 47.255432, 47.255265, 47.255267, 47.255268, 47.255292, 47.258994))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,063502,1400000US53053063502,53053063502,635.02,CT,1927547,9524,"list(c(-122.445078725802, -122.4456, -122.445926, -122.446023580415, -122.44958100676, -122.449868, -122.451441, -122.452576, -122.455212, -122.46308, -122.463119, -122.463169, -122.463172, -122.463202, -122.463209, -122.457994, -122.452576, -122.450705, -122.441962, -122.441979, -122.441987, -122.445078725802, 47.1701201098705, 47.170131, 47.170128, 47.1701277836354, 47.1701566757561, 47.170161, 47.170173, 47.170181, 47.17019, 47.170177, 47.173794, 47.179203, 47.179374, 47.180766, 47.181047, 47.181026, 
47.181003, 47.181003, 47.181013, 47.17374, 47.170095, 47.1701201098705))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,072310,1400000US53053072310,53053072310,723.10,CT,2098990,0,"list(list(c(-122.537058, -122.539766, -122.539773, -122.539775, -122.53978, -122.539795, -122.539803, -122.539899, -122.540347, -122.540392, -122.540647, -122.540929, -122.541228, -122.541515, -122.541541, -122.541737, -122.541851, -122.541855, -122.541856, -122.541545, -122.541576, -122.537057, -122.537058, 47.242114, 47.242123, 47.241973, 47.241903, 47.241798, 47.241471, 47.241278, 47.241279, 47.241277, 47.241277, 47.241277, 47.241277, 47.241277, 47.241277, 47.241277, 47.241275, 47.241276, 47.241695, 
47.241777, 47.241778, 47.242681, 47.242681, 47.242114)), list(c(-122.541576, -122.54236, -122.54502, -122.541576, 47.242681, 47.24268, 47.242678, 47.242681)))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,940005,1400000US53053940005,53053940005,9400.05,CT,4256513,0,"list(c(-122.381170438808, -122.381153, -122.381076100257, -122.368616, -122.368235, -122.367353, -122.363356, -122.3632, -122.363129, -122.362177, -122.362085, -122.359942, -122.359615886641, -122.358356, -122.35830209988, -122.358267, -122.357939, -122.357828, -122.356235, -122.355733, -122.355761, -122.355766, -122.355718, -122.355823, -122.356186, -122.356571, -122.357332, -122.35665, -122.356969, -122.358259, -122.366301, -122.373241, -122.379238, -122.383295, -122.387328, -122.386548, -122.388085, 
-122.39445, -122.396212, -122.396343, -122.393742, -122.391404, -122.382232, -122.382168, -122.381592, -122.381170438808, 47.2950451045842, 47.295033, 47.2949800069128, 47.286382, 47.286124, 47.285527, 47.28276, 47.282651, 47.282604, 47.281948, 47.281883, 47.280458, 47.2802593602084, 47.279417, 47.2793660727886, 47.279312, 47.279023, 47.275715, 47.275442, 47.273489, 47.271912, 47.271674, 47.271675, 47.268099, 47.26806, 47.258522, 47.258983, 47.260105, 47.263788, 47.265021, 47.268866, 47.271052, 47.274791, 
47.277329, 47.278965, 47.281898, 47.28174, 47.282967, 47.282844, 47.283279, 47.283412, 47.286468, 47.286438, 47.295261, 47.295336, 47.2950451045842))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,060500,1400000US53053060500,53053060500,605,CT,2116836,668446,"list(c(-122.488878, -122.488863, -122.488834, -122.488835, -122.488813, -122.484129, -122.484085, -122.479537, -122.479441, -122.477322018545, -122.471652, -122.46462747699, -122.465289, -122.466896, -122.466859, -122.466855, -122.468169, -122.474746, -122.477755, -122.479422, -122.481034, -122.48408, -122.488858, -122.488866, -122.488878, 47.271995, 47.272993, 47.274856, 47.275807, 47.277687, 47.27766, 47.280464, 47.28043, 47.279423, 47.2809344520843, 47.277321, 47.2760762991564, 47.274765, 47.274754, 
47.270579, 47.268336, 47.267467, 47.267506, 47.267525, 47.267326, 47.267334, 47.267353, 47.267334, 47.270136, 47.271995))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,061300,1400000US53053061300,53053061300,613,CT,1574643,0,"list(c(-122.465956, -122.464169, -122.461609, -122.45898, -122.456349, -122.455024, -122.454091, -122.453857, -122.453387, -122.452917, -122.452685, -122.452216, -122.451279, -122.454142, -122.457007, -122.459071, -122.460307, -122.465597, -122.465606, -122.465956, 47.255451, 47.255464, 47.256756, 47.258088, 47.259418, 47.260082, 47.255969, 47.25494, 47.25288, 47.250822, 47.249792, 47.247732, 47.243614, 47.243311, 47.243008, 47.24276, 47.242667, 47.242684, 47.250084, 47.255451))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,061700,1400000US53053061700,53053061700,617,CT,2641463,5766,"list(c(-122.476259, -122.471814, -122.465597, -122.460307, -122.459071, -122.457007, -122.454142, -122.451279, -122.448415, -122.442563, -122.440486, -122.441811, -122.446291, -122.459114, -122.459105, -122.463676, -122.46526, -122.466925, -122.475143, -122.477045, -122.476259, 47.242788, 47.242802, 47.242684, 47.242667, 47.24276, 47.243008, 47.243311, 47.243614, 47.243915, 47.244529, 47.235336, 47.234553, 47.233757, 47.233856, 47.233155, 47.233438, 47.234465, 47.235139, 47.235035, 47.239924, 47.242788
))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,062900,1400000US53053062900,53053062900,629,CT,2981031,0,"list(c(-122.473894, -122.473936, -122.473951, -122.474048, -122.474905, -122.475173, -122.475623, -122.476233066965, -122.483674, -122.484397, -122.486037, -122.486292, -122.487161, -122.485356, -122.484921, -122.484855, -122.484996, -122.482384, -122.482385, -122.482424, -122.482682, -122.483635, -122.483382, -122.483378, -122.479184, -122.473627, -122.473714, -122.47369, -122.47364, -122.473612, -122.473603, -122.473665, -122.47374, -122.47377, -122.469823, -122.47133, -122.47383, -122.473894, 
47.18479, 47.184805, 47.18482, 47.184826, 47.184818, 47.184821, 47.184825, 47.1847799549271, 47.184748, 47.184747, 47.18474, 47.18474, 47.184714, 47.190383, 47.192418, 47.195622, 47.197375, 47.197452, 47.20107, 47.206204, 47.211692, 47.213758, 47.214882, 47.218681, 47.218682, 47.218686, 47.214845, 47.208728, 47.206441, 47.201043, 47.199226, 47.19561, 47.191974, 47.19018, 47.190143, 47.186607, 47.186502, 47.18479))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,063501,1400000US53053063501,53053063501,635.01,CT,1915152,6994,"list(c(-122.463209, -122.46321, -122.463232, -122.463183, -122.463794, -122.462277, -122.459146, -122.457828, -122.452499, -122.441887, -122.441924, -122.441962, -122.450705, -122.452576, -122.457994, -122.463209, 47.181047, 47.181146, 47.182851, 47.184666, 47.184692, 47.190793, 47.191942, 47.191923, 47.191925, 47.191917, 47.188267, 47.181013, 47.181003, 47.181003, 47.181026, 47.181047))"
53,70000,02412025,5370000,Tacoma,Tacoma city,25,C1,Y,N,G4110,A,128789928,32870833,+47.2521991,-122.4598318,53,053,063100,1400000US53053063100,53053063100,631,CT,2341221,106487,"list(c(-122.462133, -122.461202, -122.461139, -122.461477, -122.458496, -122.452344, -122.441826, -122.441835, -122.441838, -122.441819, -122.44185, -122.441887, -122.452499, -122.457828, -122.459146, -122.462277, -122.462133, 47.196474, 47.20265, 47.203673, 47.206565, 47.206531, 47.206448, 47.206402, 47.20279, 47.201887, 47.197897, 47.195552, 47.191917, 47.191925, 47.191923, 47.191942, 47.190793, 47.196474))"
