"","w_geocode","CE01"
"1","530019501001024",0
"2","530019501001026",0
"3","530019501001044",0
"4","530019501001053",0
"5","530019501001061",0
"6","530019501001083",0
"7","530019501001090",0
"8","530019501001099",1
"9","530019501001104",0
"10","530019501001112",0
"11","530019501001122",0
"12","530019501001173",4
"13","530019501001186",2
"14","530019501001250",0
"15","530019501001253",0
"16","530019501001259",1
"17","530019501001264",0
"18","530019501001270",0
"19","530019501001278",0
"20","530019501001285",0
"21","530019501001292",0
"22","530019501001303",0
"23","530019501002010",0
"24","530019501002014",1
"25","530019501002015",3
"26","530019501002023",0
"27","530019501002024",1
"28","530019501002026",0
"29","530019501002032",1
"30","530019501002033",0
"31","530019501002034",1
"32","530019501002035",22
"33","530019501002037",0
"34","530019501002039",0
"35","530019501002049",0
"36","530019501002053",0
"37","530019501002061",0
"38","530019501002078",3
"39","530019501002079",4
"40","530019501002086",2
"41","530019501002088",3
"42","530019501002093",1
"43","530019501002094",50
"44","530019501002095",4
"45","530019501002104",29
"46","530019501002106",0
"47","530019501002113",5
"48","530019501003004",5
"49","530019501003008",1
"50","530019501003009",0
"51","530019501003011",1
"52","530019501003015",4
"53","530019501003016",4
"54","530019501003032",0
"55","530019501003036",1
"56","530019501003038",2
"57","530019501003041",0
"58","530019501003045",1
"59","530019501003047",0
"60","530019501003052",1
"61","530019501003056",0
"62","530019501003060",0
"63","530019501003062",11
"64","530019501003063",18
"65","530019501003064",0
"66","530019501003065",4
"67","530019501003066",2
"68","530019501003067",0
"69","530019501003068",0
"70","530019501003069",0
"71","530019501003072",4
"72","530019501003077",5
"73","530019501003078",0
"74","530019501003082",3
"75","530019501003085",0
"76","530019502001036",0
"77","530019502001043",0
"78","530019502001061",0
"79","530019502001093",0
"80","530019502001164",0
"81","530019502001174",4
"82","530019502001181",0
"83","530019502001217",19
"84","530019502001230",0
"85","530019502001237",4
"86","530019502001243",0
"87","530019502002013",0
"88","530019502002030",4
"89","530019502002032",3
"90","530019502002034",3
"91","530019502002036",2
"92","530019502002055",0
"93","530019502002057",7
"94","530019502002058",2
"95","530019502002072",1
"96","530019502002077",1
"97","530019502002087",6
"98","530019502002092",2
"99","530019502002105",0
"100","530019502002115",0
"101","530019502002126",2
"102","530019502002129",0
"103","530019502002130",2
"104","530019502002139",1
"105","530019502002141",0
"106","530019502002142",0
"107","530019502002146",6
"108","530019502003004",2
"109","530019502003059",3
"110","530019502003071",0
"111","530019502003082",0
"112","530019502003114",0
"113","530019502003128",0
"114","530019502003129",0
"115","530019502003156",6
"116","530019502003177",0
"117","530019502003178",1
"118","530019502003210",0
"119","530019502003223",3
"120","530019502003230",1
"121","530019502003231",0
"122","530019502003232",3
"123","530019502003235",0
"124","530019502003259",5
"125","530019502003262",9
"126","530019502003266",0
"127","530019502003276",0
"128","530019503001003",6
"129","530019503001004",0
"130","530019503001005",4
"131","530019503001009",2
"132","530019503001012",8
"133","530019503001014",0
"134","530019503002022",0
"135","530019503002048",0
"136","530019503002054",0
"137","530019503002061",0
"138","530019503002062",10
"139","530019503002063",7
"140","530019503002070",0
"141","530019503002074",1
"142","530019503002075",4
"143","530019503002083",2
"144","530019503002085",0
"145","530019503002086",0
"146","530019503002087",2
"147","530019503002089",7
"148","530019503002090",0
"149","530019503002091",0
"150","530019503002109",0
"151","530019503002112",0
"152","530019503002120",0
"153","530019503002123",0
"154","530019503002124",0
"155","530019503002125",1
"156","530019503002126",0
"157","530019503002131",0
"158","530019503002133",0
"159","530019503002136",1
"160","530019503002138",1
"161","530019503002139",0
"162","530019503002142",0
"163","530019503002143",0
"164","530019503002144",0
"165","530019503002145",1
"166","530019503002147",0
"167","530019503002152",0
"168","530019503002155",72
"169","530019503002164",3
"170","530019503002170",2
"171","530019503002175",0
"172","530019503002177",4
"173","530019503002179",2
"174","530019503002184",1
"175","530019503002186",1
"176","530019503002191",0
"177","530019503003019",1
"178","530019503003024",9
"179","530019503003037",0
"180","530019503003042",0
"181","530019503003043",3
"182","530019503003045",9
"183","530019503003050",1
"184","530019503003059",0
"185","530019503003061",0
"186","530019503003074",4
"187","530019503003076",0
"188","530019503003086",1
"189","530019503004003",0
"190","530019503004005",2
"191","530019503004006",4
"192","530019503004009",2
"193","530019503004011",33
"194","530019503004017",4
"195","530019503004033",6
"196","530019503004034",1
"197","530019503004041",1
"198","530019503004043",0
"199","530019503004053",0
"200","530019503005000",1
"201","530019503005002",1
"202","530019503005003",1
"203","530019503005004",0
"204","530019503005008",2
"205","530019503005009",0
"206","530019503005014",1
"207","530019503005018",0
"208","530019503005020",1
"209","530019504001000",8
"210","530019504001001",3
"211","530019504001007",3
"212","530019504001009",5
"213","530019504001019",2
"214","530019504001022",1
"215","530019504001024",5
"216","530019504001027",19
"217","530019504001028",5
"218","530019504001031",2
"219","530019504001034",1
"220","530019504001039",7
"221","530019504001040",3
"222","530019504001041",3
"223","530019504001045",0
"224","530019504001048",3
"225","530019504001049",2
"226","530019504001050",1
"227","530019504001052",3
"228","530019504001064",0
"229","530019504001068",12
"230","530019504002002",15
"231","530019504002003",1
"232","530019504002004",10
"233","530019504002006",0
"234","530019504002007",0
"235","530019504002008",11
"236","530019504002012",6
"237","530019504002013",0
"238","530019504002016",4
"239","530019504002017",1
"240","530019504002023",3
"241","530019504002024",0
"242","530019504002025",0
"243","530019504002027",2
"244","530019504002029",0
"245","530019504002031",4
"246","530019504002032",0
"247","530019504002033",1
"248","530019504002035",1
"249","530019504002037",0
"250","530019504002039",1
"251","530019504002041",0
